actores,estado,fecha_estreno,generos,puntaje,temporadas,titulo
"Andrea Brooks,Azie Tesfai,Chyler Leigh,David Harewood,Jesse Rath,Julie Gonzalo,Katie McGrath,Melissa Benoist,Nicole Maines,Staz Nair",EMISION,2015,"Acción,Aventura,Ciencia ficción,DC Comics,Drama,Series de CBS All Access,Series de The CW",4.5,5,Supergirl
"Andrzej Konopka,Andrzej Mastalerz,Helena Sujecka,Magdalena Żak,Michał Czernecki,Mirosław Kropielnicki",EMISION,2018,"Crimen,Misterio,Series de AXN",5,2,Símbolos
"Amy Pemberton,Caity Lotz,Dominic Purcell,Jes Macallan,Maisie Richardson-Sellers,Matt Ryan,Nick Zano,Tala Ashe",EMISION,2016,"Acción,Aventura,Ciencia ficción,DC Comics,Drama,Familia,Series de The CW",5,5,Legends of Tomorrow
"Corey Stoll,David Bradley,Jonathan Hyde,Kevin Durand,Max Charles,Miguel Gomez,Richard Sammel,Rupert Penry-Jones,Ruta Gedmintas",FINALIZADA,2014,"Ciencia ficción,Drama,Misterio,Series de FX",0,4,The Strain
"Cynthia Nixon,Kim Cattrall,Kristin Davis,Sarah Jessica Parker",FINALIZADA,1998,"Antiguas,Comedia,Series de HBO",5,6,Sexo en Nueva York
"Adriana Barraza,Daniel Zovatto,Jessica Garza,Johnathan Nieves,Kerry Bishé,Michael Gladis,Natalie Dormer,Nathan Lane,Rico Torres,Rory Kinnear",FINALIZADA,2020,"Ciencia ficción,Crimen,Drama,Fantasía,Misterio,Series de Showtime",5,1,Penny Dreadful: City of Angels
"Albert Welling,Brandon P. Bell,David Hargreaves,Emma Appleton,Greg McHugh,Jamie Blackley,Keeley Hawes,Luke Treadaway,Matt Lauria,Michael Stuhlbarg,Robert Goodale,Simon Kunz",EMISION,2019,"Drama,Política,Series de Channel 4",0,1,Traidores
"Barbara Eden,Larry Hagman",FINALIZADA,1965,"Antiguas,Ciencia ficción,Comedia,Familia,Fantasía,Series de NBC",3,5,Mi Bella Genio
"Alastair Duncan,Danielle Judovits,Evan Sabara,Grey DeLisle,James Remar,Kevin Michael Richardson,Ming-Na Wen,Richard Green,Rino Romano,Ron Perlman,Tom Kenny",FINALIZADA,2004,"Acción,Animación,Aventura,Ciencia ficción,DC Comics,Fantasía,Misterio,Series de The WB",4,5,The Batman
"Agustín Sullivan,Antonio Grimau,Luis Machín,Marco Antonio Caponi,Muriel Santa Ana",FINALIZADA,2018,Drama,5,1,Sandro de América
"Dylan O'Brien,Dylan Sprayberry,Holland Roden,JR Bourne,Linden Ashby,Melissa Ponzio,Shelley Hennig,Tyler Posey",FINALIZADA,2011,"Drama,Ciencia ficción,Fantasía",4.5,6,Teen Wolf
,EMISION,2019,"Ciencia ficción,Drama,Fantasía,Misterio,Series de Netflix",0,2,The Gift
"Cameron Monaghan,Christian Isaiah,Emma Kenney,Ethan Cutkosky,Jeremy Allen White,Kate Miner,Noel Fisher,Shanola Hampton,Steve Howey,William H. Macy",EMISION,2011,"Comedia,Drama,Series de Showtime",5,11,Shameless
"Bill Pullman,Eddie Martinez,Jessica Hecht,Matt Bomer,Parisa Fitz-Henley",EMISION,2017,"Crimen,Drama,Series de USA Network",2,3,The Sinner
"Alberto Rosende,Alisha Wainwright,Dominic Sherwood,Emeraude Toubia,Harry Shum Jr.,Isaiah Mustafa,Katherine McNamara,Matthew Daddario",FINALIZADA,2016,"Acción,Aventura,Ciencia ficción,Drama,Fantasía,Series de Freeform",4.5,3,Shadowhunters
"Edie Falco,Gus Halper,Josh Charles,Miles Gaston Villanueva,Sam Jaeger",EMISION,2017,"Crimen,Drama",0,1,Ley y Orden True Crime: El caso Menéndez
