actores,estado,fecha_estreno,generos,puntaje,temporadas,titulo
"Abbie Gayle,Andrea Andrade,Brandon Stanley,CG Lewis,Charlie Plummer,Deneen Tyler,Denny Love,Frieda Jane,Henry Zaga,Jared Bankens,Jay Lee,Joe Chrest",FINALIZADA,2019,"Drama,Series de Hulu",0,1,Buscando a Alaska
"Issa Rae,Jay Ellis,Lisa Joyce,Yvonne Orji",EMISION,2016,"Comedia,Drama,Series de HBO",0,4,Insecure
"Bradley Walsh,Jodie Whittaker,Mandip Gill,Tosin Cole",EMISION,2005,"Acción,Aventura,Ciencia ficción,Drama,Fantasía,Series de BBC One",0,12,Doctor Who
"Glen Powell,Jameela Jamil,Jenna Ortega,Kausar Mohammed,Paul-Mikél Williams,Raini Rodriguez,Ryan Potter,Sean Giambrone",EMISION,2020,"Animación,Acción,Aventura,Series de Netflix",0,1,Jurassic World: Campamento Cretácico
Ricky Merino,EMISION,2020,"Familia,Reality,Series de Netflix",0,1,¡A cantar!
"Alessandra Mastronardi,Aziz Ansari,Eric Wareheim,Lena Waithe,Shoukath Ansari",FINALIZADA,2015,"Comedia,Drama,Series de Netflix",0,2,Master of None
"Amanda Plummer,Charlie Carver,Corey Stoll,Cynthia Nixon,Finn Wittrock,Jon Jon Briones,Judy Davis,Sarah Paulson,Sharon Stone",FINALIZADA,2020,"Crimen,Drama,Misterio,Series de Netflix",0,1,Ratched
"Adam Nagaitis,Adrian Rawlins,Alan Williams,Alex Ferns,Barry Keoghan,Con O'Neill,David Dencik,Emily Watson,Fares Fares,Jared Harris,Jessie Buckley,Mark Lewis Jones",EMISION,2019,Drama,3.5,1,Chernobyl
,EMISION,2017,"Ciencia ficción,Crimen,Drama,Fantasía,Misterio,Series de Netflix",4,3,Dark
"Alex Høgh Andersen,Alexander Ludwig,Danila Kozlovsky,John Kavanagh,Jordan Patrick Smith,Katheryn Winnick,Marco Ilsø,Peter Franzén",EMISION,2013,"Drama,Acción,Aventura,Series de History",4,6,Vikingos
"Candice King,Ian Somerhalder,Julia Vasi,Kat Graham,Matthew Davis,Michael Malarkey,Paul Wesley,Zach Roerig",FINALIZADA,2009,"Drama,Fantasía,Romance,Series de The CW,Terror",4.5,8,Diario de Vampiros
"Abril Zamora,Adriana Paz,Alba Flores,Alberto Velasco,Benjamín Vicuña,Berta Vázquez,Cristina Marcos,Édgar Vittorino,Georgina Amorós,Itziar Castro,Jesús Castejón,Laura Baena",FINALIZADA,2015,"Drama,Series de Atresplayer,Series de FOX",4,4,Vis a vis
"Conleth Hill,Emilia Clarke,Gwendoline Christie,Isaac Hempstead-Wright,Jacob Anderson,Jerome Flynn,Joe Dempsie,John Bradley,Kit Harington,Lena Headey,Liam Cunningham,Maisie Williams",FINALIZADA,2011,"Drama,Ciencia ficción,Fantasía,Series de HBO",4,8,Juego de Tronos
"Chandra Wilson,Ellen Pompeo,James Pickens Jr.,Justin Chambers,Vanessa Bell Calloway",EMISION,2005,Drama,4,16,Anatomía de Grey
"Bob Morley,Eliza Taylor,Lindsey Morgan,Marie Avgeropoulos,Paige Turco,Richard Harmon",EMISION,2014,"Acción,Aventura,Ciencia ficción,Drama,Fantasía,Series de The CW",4.5,7,Los 100
"Christian Serratos,Danai Gurira,Jeffrey Dean Morgan,Josh McDermitt,Khary Payton,Melissa McBride,Norman Reedus,Ross Marquand,Ryan Hurst,Samantha Morton,Seth Gilliam",EMISION,2010,"Acción,Aventura,Ciencia ficción,Drama,Fantasía,Series de AMC",4.5,10,The Walking Dead
"Aimee Garcia,D.B. Woodside,Jon Sklaroff,Kevin Alejandro,Lauren German,Lesley-Ann Brandt,Rachael Harris,Scarlett Estevez,Tom Ellis",EMISION,2016,"Crimen,Ciencia ficción,DC Comics,Fantasía,Series de FOX,Series de Netflix",4,5,Lucifer
"Alba Flores,Álvaro Morte,Darko Peric,Enrique Arce,Esther Acebo,Hovik Keuchkerian,Itziar Ituño,Jaime Lorente,Miguel Herrán,Najwa Nimri,Pedro Alonso,Rodrigo de la Serna",EMISION,2017,"Crimen,Drama,Series de Atresplayer,Series de Netflix",4,4,La Casa de Papel
"Antonia Thomas,Christina Chang,Crystal Blint,Fiona Gubelmann,Freddie Highmore,Hill Harper,Jasika Nicole,Nicholas Gonzalez,Paige Spara,Richard Schiff,Will Yun Lee",EMISION,2017,"Drama,Series de ABC",4,3,The Good Doctor
"Aimée-Lou Wood,Anna Waddington,Asa Butterfield,Connor Swindells,Emma Mackey,Gillian Anderson,Kedar Williams-Stirling,Ncuti Gatwa",EMISION,2019,"Comedia,Drama,LGBT",4,2,Sex Education
"Abdelatif Hwidar,Álvaro Rico,Arón Piper,Danna Paola,Ester Expósito,Georgina Amorós,Itzan Escamilla,Jaime Lorente,Lola Marceli,Miguel Bernardeau,Mina El Hammani,Omar Ayuso",EMISION,2018,"Crimen,Drama,Misterio,Series de Netflix",4,3,Élite
